ILSVRC2012_val_00000007.bin 0c0a08080505050404040404040303
ILSVRC2012_val_00000021.bin 0c0a09080808070706060605050505
ILSVRC2012_val_00000046.bin 090707070606060505050505050505
ILSVRC2012_val_00000063.bin 0b0504040404040404040303030303
ILSVRC2012_val_00000065.bin 060606060605040404040404030303
ILSVRC2012_val_00000099.bin 0e0a09080807070706060606060505
ILSVRC2012_val_00000101.bin 070606060505050505040404040404
ILSVRC2012_val_00000106.bin 050504040403030303030303030303
ILSVRC2012_val_00000108.bin 060505040404040404030303030303
ILSVRC2012_val_00000123.bin 080808070606060606060505040404
ILSVRC2012_val_00000126.bin 040404040403030303030303030302
ILSVRC2012_val_00000129.bin 0a0909080707060606060505050505
ILSVRC2012_val_00000131.bin 090808050505050404040404030303
ILSVRC2012_val_00000132.bin 090808080707060605050505040404
ILSVRC2012_val_00000140.bin 060505050504040404040404030303
ILSVRC2012_val_00000146.bin 050505050404040404040403030303
ILSVRC2012_val_00000151.bin 040404040303030303020202020202
ILSVRC2012_val_00000181.bin 050404040404040404030303030303
ILSVRC2012_val_00000197.bin 060404040404040303030303030303
ILSVRC2012_val_00000202.bin 080706050504040303030303030303
ILSVRC2012_val_00000204.bin 070505050404040404040303030303
ILSVRC2012_val_00000205.bin 0a0908070707060606060505050404
ILSVRC2012_val_00000212.bin 050505050505050505040404040404
ILSVRC2012_val_00000223.bin 080706060606050505050505050504
ILSVRC2012_val_00000236.bin 050505040404040404030303030303
ILSVRC2012_val_00000243.bin 050404040404040404030303030303
ILSVRC2012_val_00000249.bin 050404040403030303030303030303
ILSVRC2012_val_00000253.bin 060505050404040404040303030303
ILSVRC2012_val_00000262.bin 050504030303030303030303020202
ILSVRC2012_val_00000273.bin 050505040404040403030303030303
ILSVRC2012_val_00000274.bin 060403030303030303030303030202
ILSVRC2012_val_00000275.bin 040404030303030303030303020202
ILSVRC2012_val_00000280.bin 0f0909090808060606060605050505
ILSVRC2012_val_00000285.bin 090807070605050505050505050505
ILSVRC2012_val_00000303.bin 070705050504040403030303030303
ILSVRC2012_val_00000307.bin 140908080707060606050504040404
ILSVRC2012_val_00000309.bin 0c0807060505050504040404040404
ILSVRC2012_val_00000310.bin 080706060505050504040404040303
ILSVRC2012_val_00000315.bin 060505050505040404040404040404
ILSVRC2012_val_00000320.bin 090707060606060606060606060605
ILSVRC2012_val_00000321.bin 0d0808070706050505050505050504
ILSVRC2012_val_00000322.bin 070404040403030303030303030303
ILSVRC2012_val_00000331.bin 080606060505050505040404040404
ILSVRC2012_val_00000344.bin 0d0c0b090808080807070706050505
ILSVRC2012_val_00000386.bin 0c0706060505050404040404040303
ILSVRC2012_val_00000388.bin 070706060605050505050504040404
ILSVRC2012_val_00000397.bin 080707070706060606060605050504
ILSVRC2012_val_00000400.bin 080707070606050505050504040404
ILSVRC2012_val_00000407.bin 0e0c0b0b0a0a0a0a09090806050404
ILSVRC2012_val_00000418.bin 090706060605050504040404040404
